id,label,s000,sa01,sa02,sa03,se01,se02,se03,si01,si02,si03,layersrc,lng_h,lat_h,lng_w,lat_w,njob_class
12045960300,"9603 (Gulf, FL)",286,40,141,105,51,110,125,30,24,232,us_trct,-85.3014908,29.8291842,-85.2028016,29.8243304,5
12045960200,"9602 (Gulf, FL)",230,56,98,76,76,106,48,21,67,142,us_trct,-85.3014908,29.8291842,-85.3218282,29.902892600000005,4
12045960100,"9601 (Gulf, FL)",29,9,14,6,5,16,8,17,2,10,us_trct,-85.3014908,29.8291842,-85.2465871,30.0606837,3
12005001000,"10 (Bay, FL)",18,0,9,9,2,0,16,17,0,1,us_trct,-85.3014908,29.8291842,-85.6192985,30.139549900000002,3
12005001600,"16 (Bay, FL)",17,2,9,6,3,5,9,0,0,17,us_trct,-85.3014908,29.8291842,-85.6505706,30.174758299999997,3
12037970304,"9703.04 (Franklin, FL)",17,4,7,6,7,7,3,0,5,12,us_trct,-85.3014908,29.8291842,-85.00937040000001,29.603101000000002,3
12005000600,"6 (Bay, FL)",12,4,4,4,2,7,3,1,2,9,us_trct,-85.3014908,29.8291842,-85.41738120000001,29.9839939,2
12005001502,"15.02 (Bay, FL)",12,4,7,1,2,2,8,0,1,11,us_trct,-85.3014908,29.8291842,-85.67124059999999,30.192815600000003,2
12005002000,"20 (Bay, FL)",9,1,7,1,3,3,3,0,1,8,us_trct,-85.3014908,29.8291842,-85.6621483,30.1723924,2
12037970302,"9703.02 (Franklin, FL)",9,0,6,3,0,6,3,6,0,3,us_trct,-85.3014908,29.8291842,-85.0542243,29.731534000000003,2
12005002200,"22 (Bay, FL)",8,3,2,3,4,0,4,0,0,8,us_trct,-85.3014908,29.8291842,-85.68148000000001,30.169537,2
12005001501,"15.01 (Bay, FL)",7,1,6,0,0,5,2,3,0,4,us_trct,-85.3014908,29.8291842,-85.6830078,30.212034499999998,2
12005002400,"24 (Bay, FL)",7,0,6,1,4,3,0,1,0,6,us_trct,-85.3014908,29.8291842,-85.7160099,30.1800516,2
12005000500,"5 (Bay, FL)",6,0,4,2,0,1,5,3,1,2,us_trct,-85.3014908,29.8291842,-85.481657,30.159343800000002,2
12037970100,"9701 (Franklin, FL)",6,1,4,1,2,1,3,3,1,2,us_trct,-85.3014908,29.8291842,-84.57121509999999,29.916401300000004,2
