X,Y,Z,R,G,B
-85.30152167358399,29.80208319580078,7.44600009918213,23,45,67
-85.30152167358399,29.80208319580078,8.98900032043457,23,45,67
-85.30152930297852,29.80208319580078,7.93699979782104,31,45,66
-85.30151404418946,29.80207556640625,8.27799987792969,55,59,71
-85.30152167358399,29.802073659057616,6.92799997329712,30,36,59
-85.30152167358399,29.80207556640625,9.58600044250488,30,36,59
-85.30152167358399,29.802073659057616,8.62600040435791,30,36,59
-85.30152930297852,29.802073659057616,9.73799991607666,26,38,62
-85.30152930297852,29.80207556640625,15.09700012207031,26,38,62
-85.30152167358399,29.80206984436035,7.54699993133545,38,48,59
-85.30152167358399,29.80206984436035,9.38799953460693,38,48,59
-85.30152930297852,29.802067937011717,8.30599975585938,38,48,59
-85.30152930297852,29.802067937011717,9.86600017547607,57,48,73
-85.30152930297852,29.80206984436035,15.13599967956543,57,48,73
-85.30152167358399,29.80206221496582,5.66599988937378,36,50,72
-85.30152167358399,29.80206221496582,8.83600044250488,36,50,72
-85.30152930297852,29.80206221496582,9.58600044250488,55,51,64
-85.30152167358399,29.802052678222655,6.58699989318848,61,53,69
-85.30152167358399,29.802052678222655,8.33600044250488,61,53,69
-85.30152167358399,29.802050770874022,7.40700006484985,61,53,69
-85.30152167358399,29.802054585571288,14.16699981689453,61,53,69
-85.30152930297852,29.802052678222655,14.95699977874756,61,53,69
-85.30151404418946,29.802046956176756,6.21799993515015,52,57,70
-85.30152167358399,29.802046956176756,8.12600040435791,61,53,69
-85.30152167358399,29.802045048828123,6.7480001449585,68,76,89
-85.30152167358399,29.802046956176756,14.90799999237061,61,53,69
-85.30151404418946,29.802037419433592,8.12600040435791,57,49,69
-85.30152167358399,29.802037419433592,6.76700019836426,68,76,89
-85.30152167358399,29.802039326782225,10.32699966430664,68,76,89
-85.30152167358399,29.802037419433592,8.28800010681152,68,76,89
-85.30152167358399,29.802039326782225,15.25800037384033,68,76,89
-85.30152167358399,29.802033604736327,8.1870002746582,63,76,85
-85.30152167358399,29.802033604736327,10.64700031280518,63,76,85
-85.30152167358399,29.802033604736327,15.42599964141846,63,76,85
-85.30152167358399,29.80203551208496,17.88599967956543,63,76,85
-85.30152167358399,29.802024067993163,7.79699993133545,48,70,67
-85.30152167358399,29.802024067993163,10.58600044250488,43,62,68
-85.30152167358399,29.802024067993163,14.77700042724609,48,70,67
-85.30152167358399,29.802025975341795,17.74900054931641,48,70,67
-85.30151404418946,29.80201643859863,15.10599994659424,56,55,78
-85.30151404418946,29.8020030871582,13.80700016021729,60,65,76
-85.30151404418946,29.80199545776367,13.31700038909912,72,75,82
